"parents","n","labels","id"
"Czech Republic",70,"Romance","Czech Republic  -  Romance"
"Czech Republic",15,"Sci Fi","Czech Republic  -  Sci Fi"
"Czech Republic",12,"Sport","Czech Republic  -  Sport"
"Czech Republic",53,"Thriller","Czech Republic  -  Thriller"
"Czech Republic",3,"War","Czech Republic  -  War"
"Denmark",186,"Action","Denmark  -  Action"
"Denmark",5,"Adult","Denmark  -  Adult"
"Denmark",114,"Adventure","Denmark  -  Adventure"
"Denmark",54,"Animation","Denmark  -  Animation"
"Denmark",14,"Biography","Denmark  -  Biography"
"Denmark",184,"Comedy","Denmark  -  Comedy"
"Denmark",150,"Crime","Denmark  -  Crime"
"Denmark",31,"Documentary","Denmark  -  Documentary"
"Denmark",319,"Drama","Denmark  -  Drama"
"Denmark",18,"Family","Denmark  -  Family"
"Denmark",37,"Fantasy","Denmark  -  Fantasy"
"Denmark",2,"Film Noir","Denmark  -  Film Noir"
"Denmark",11,"Game Show","Denmark  -  Game Show"
"Denmark",6,"History","Denmark  -  History"
"Denmark",22,"Horror","Denmark  -  Horror"
"Denmark",1,"Music","Denmark  -  Music"
"Denmark",2,"Musical","Denmark  -  Musical"
"Denmark",54,"Mystery","Denmark  -  Mystery"
"Denmark",23,"Reality TV","Denmark  -  Reality TV"
"Denmark",85,"Romance","Denmark  -  Romance"
"Denmark",19,"Sci Fi","Denmark  -  Sci Fi"
"Denmark",1,"Short","Denmark  -  Short"
"Denmark",12,"Sport","Denmark  -  Sport"
"Denmark",66,"Thriller","Denmark  -  Thriller"
"Denmark",11,"War","Denmark  -  War"
"Denmark",5,"Western","Denmark  -  Western"
"Dominican Republic",175,"Action","Dominican Republic  -  Action"
"Dominican Republic",1,"Adult","Dominican Republic  -  Adult"
"Dominican Republic",103,"Adventure","Dominican Republic  -  Adventure"
"Dominican Republic",53,"Animation","Dominican Republic  -  Animation"
"Dominican Republic",6,"Biography","Dominican Republic  -  Biography"
"Dominican Republic",163,"Comedy","Dominican Republic  -  Comedy"
"Dominican Republic",119,"Crime","Dominican Republic  -  Crime"
"Dominican Republic",14,"Documentary","Dominican Republic  -  Documentary"
"Dominican Republic",276,"Drama","Dominican Republic  -  Drama"
"Dominican Republic",18,"Family","Dominican Republic  -  Family"
"Dominican Republic",33,"Fantasy","Dominican Republic  -  Fantasy"
"Dominican Republic",2,"Film Noir","Dominican Republic  -  Film Noir"
"Dominican Republic",2,"Game Show","Dominican Republic  -  Game Show"
"Dominican Republic",2,"History","Dominican Republic  -  History"
"Dominican Republic",26,"Horror","Dominican Republic  -  Horror"
"Dominican Republic",32,"Music","Dominican Republic  -  Music"
"Dominican Republic",6,"Musical","Dominican Republic  -  Musical"
"Dominican Republic",34,"Mystery","Dominican Republic  -  Mystery"
"Dominican Republic",3,"Reality TV","Dominican Republic  -  Reality TV"
"Dominican Republic",85,"Romance","Dominican Republic  -  Romance"
"Dominican Republic",20,"Sci Fi","Dominican Republic  -  Sci Fi"
"Dominican Republic",2,"Short","Dominican Republic  -  Short"
"Dominican Republic",7,"Sport","Dominican Republic  -  Sport"
"Dominican Republic",80,"Thriller","Dominican Republic  -  Thriller"
"Dominican Republic",4,"War","Dominican Republic  -  War"
"Dominican Republic",2,"Western","Dominican Republic  -  Western"
"Ecuador",146,"Action","Ecuador  -  Action"
"Ecuador",1,"Adult","Ecuador  -  Adult"
"Ecuador",116,"Adventure","Ecuador  -  Adventure"
"Ecuador",71,"Animation","Ecuador  -  Animation"
"Ecuador",3,"Biography","Ecuador  -  Biography"
"Ecuador",205,"Comedy","Ecuador  -  Comedy"
"Ecuador",89,"Crime","Ecuador  -  Crime"
"Ecuador",13,"Documentary","Ecuador  -  Documentary"
"Ecuador",269,"Drama","Ecuador  -  Drama"
"Ecuador",15,"Family","Ecuador  -  Family"
"Ecuador",23,"Fantasy","Ecuador  -  Fantasy"
"Ecuador",2,"Film Noir","Ecuador  -  Film Noir"
"Ecuador",23,"Horror","Ecuador  -  Horror"
"Ecuador",31,"Music","Ecuador  -  Music"
"Ecuador",4,"Musical","Ecuador  -  Musical"
"Ecuador",36,"Mystery","Ecuador  -  Mystery"
"Ecuador",3,"Reality TV","Ecuador  -  Reality TV"
"Ecuador",108,"Romance","Ecuador  -  Romance"
"Ecuador",20,"Sci Fi","Ecuador  -  Sci Fi"
"Ecuador",6,"Sport","Ecuador  -  Sport"
"Ecuador",70,"Thriller","Ecuador  -  Thriller"
"Ecuador",2,"War","Ecuador  -  War"
"Ecuador",3,"Western","Ecuador  -  Western"
"Egypt",188,"Action","Egypt  -  Action"
"Egypt",3,"Adult","Egypt  -  Adult"
"Egypt",100,"Adventure","Egypt  -  Adventure"
"Egypt",37,"Animation","Egypt  -  Animation"
"Egypt",13,"Biography","Egypt  -  Biography"
"Egypt",190,"Comedy","Egypt  -  Comedy"
"Egypt",113,"Crime","Egypt  -  Crime"
"Egypt",19,"Documentary","Egypt  -  Documentary"
"Egypt",330,"Drama","Egypt  -  Drama"
"Egypt",15,"Family","Egypt  -  Family"
"Egypt",34,"Fantasy","Egypt  -  Fantasy"
"Egypt",3,"Film Noir","Egypt  -  Film Noir"
"Egypt",4,"Game Show","Egypt  -  Game Show"
"Egypt",5,"History","Egypt  -  History"
"Egypt",30,"Horror","Egypt  -  Horror"
"Egypt",1,"Music","Egypt  -  Music"
"Egypt",2,"Musical","Egypt  -  Musical"
"Egypt",45,"Mystery","Egypt  -  Mystery"
"Egypt",6,"Reality TV","Egypt  -  Reality TV"
"Egypt",102,"Romance","Egypt  -  Romance"
"Egypt",29,"Sci Fi","Egypt  -  Sci Fi"
"Egypt",4,"Sport","Egypt  -  Sport"
"Egypt",85,"Thriller","Egypt  -  Thriller"
"Egypt",4,"War","Egypt  -  War"
"El Salvador",139,"Action","El Salvador  -  Action"
"El Salvador",1,"Adult","El Salvador  -  Adult"
"El Salvador",103,"Adventure","El Salvador  -  Adventure"
"El Salvador",66,"Animation","El Salvador  -  Animation"
"El Salvador",3,"Biography","El Salvador  -  Biography"
"El Salvador",189,"Comedy","El Salvador  -  Comedy"
"El Salvador",105,"Crime","El Salvador  -  Crime"
"El Salvador",12,"Documentary","El Salvador  -  Documentary"
"El Salvador",287,"Drama","El Salvador  -  Drama"
"El Salvador",13,"Family","El Salvador  -  Family"
"El Salvador",18,"Fantasy","El Salvador  -  Fantasy"
